id,inmate_id,location_id,date
178,2012-0405125,101,2013-01-29
179,2012-1004031,102,2012-12-31
180,2012-0828096,102,2013-01-15
181,2012-1207206,98,2012-12-21
182,2011-1109151,52,2012-12-19
183,2006-0027225,60,2012-12-18
184,2012-1008105,23,2013-01-08
185,2012-1110021,66,2012-12-27
186,2011-0927066,52,2012-12-17
187,2012-0904135,91,2013-01-11
188,2010-0903188,44,2013-01-15
189,2012-1028172,48,2012-12-17
190,2012-0911158,100,2012-12-17
191,2012-1122142,73,2013-01-03
192,2012-0102187,102,2013-02-07
193,2012-0927019,2,2012-12-14
194,2012-1028180,66,2012-12-26
195,2012-0928122,105,2013-02-15
196,2012-0809210,68,2013-01-23
197,2012-1203146,107,2012-12-13
198,2012-1128223,108,2012-12-17
199,2012-0618051,6,2013-01-22
200,2012-1208089,57,2012-12-14
201,2010-1202052,102,2012-12-13
202,2012-1207118,30,2012-12-13
203,2012-0618032,27,2012-12-28
204,2011-0228166,44,2013-01-15
205,2012-0130188,112,2013-02-01
206,2012-0210236,47,2013-01-10
207,2012-0628146,72,2012-12-13
208,2012-0823132,45,2012-12-14
209,2012-0501191,45,2012-12-17
210,2012-0606109,56,2013-01-14
211,2011-1203201,90,2013-01-08
212,2012-1111143,77,2013-01-10
213,2012-1116244,82,2013-01-07
214,2012-1109039,27,2012-12-21
215,2012-1012028,68,2012-12-21
216,2012-1129080,114,2013-01-21
217,2012-0429128,83,2013-01-09
218,2012-1017131,34,2012-12-17
219,2012-1101205,12,2012-12-19
220,2012-1209083,30,2012-12-14
221,2012-1129171,46,2013-01-28
222,2011-0429243,115,2012-12-18
223,2012-0819067,20,2012-12-13
224,2012-1003063,66,2012-12-19
225,2012-1028001,116,2012-12-18
226,2012-0914038,112,2012-12-20
227,2012-1123004,57,2012-12-13
228,2012-0703078,20,2012-12-17
229,2012-1211076,69,2012-12-14
230,2008-0073644,20,2013-01-03
231,2012-0306196,117,2012-12-20
232,2012-0703088,72,2013-01-16
233,2012-0415056,68,2012-12-21
234,2012-0821075,46,2013-01-07
235,2012-0704132,56,2012-12-18
236,2012-1009150,25,2013-01-16
237,2012-0803087,28,2013-01-10
238,2012-0731120,12,2012-12-18
239,2012-1203164,82,2012-12-20
240,2012-0907027,74,2013-01-02
241,2012-1003066,121,2013-01-14
242,2012-0527159,100,2013-01-07
243,2012-0709073,27,2012-12-28
244,2012-1018042,55,2012-12-13
245,2012-0621221,59,2012-12-19
246,2012-0625163,122,2012-12-27
247,2012-1209067,108,2012-12-28
248,2012-0725155,2,2012-12-27
249,2012-1209163,77,2012-12-28
250,2012-0913066,47,2013-01-09
251,2012-0917158,112,2012-12-20
252,2012-1102155,76,2012-12-28
253,2010-0408081,123,2013-02-04
254,2012-1203190,78,2012-12-20
255,2012-1123079,25,2012-12-20
256,2012-0703142,6,2013-01-10
257,2012-0527030,98,2012-12-17
258,2012-1209134,82,2012-12-27
259,2012-0730042,5,2013-01-08
260,2012-0827106,12,2013-01-16
261,2012-0621126,46,2013-01-10
262,2011-1222174,32,2013-01-07
263,2012-1028184,11,2013-01-13
264,2012-0326158,60,2012-12-14
265,2012-1003211,12,2013-01-08
266,2012-0920131,52,2012-12-21
267,2012-1107173,32,2012-12-18
268,2012-1014189,45,2013-02-01
269,2012-1204045,54,2013-01-14
270,2012-1202178,82,2013-01-09
271,2010-1222146,20,2013-01-18
272,2012-0627136,91,2013-01-07
273,2012-1009080,25,2012-12-20
274,2012-0821209,87,2012-12-19
275,2012-0326020,74,2012-12-19
276,2012-1212197,67,2013-01-02
277,2012-0818108,15,2013-01-18
278,2012-0719001,125,2013-01-10
279,2012-0830077,27,2012-12-21
280,2012-1116046,2,2012-12-21
281,2012-0802085,90,2013-01-03
282,2011-0412044,34,2013-01-30
283,2012-0720045,15,2013-02-26
284,2011-1028140,39,2012-12-17
285,2012-0825175,90,2012-12-14
286,2012-1206089,126,2013-01-02
287,2011-1126030,31,2013-01-03
288,2010-0614209,32,2013-01-07
289,2012-0430080,48,2013-01-02
290,2012-1203134,41,2012-12-27
291,2012-0825174,55,2012-12-17
292,2011-1025131,90,2013-12-18
293,2012-0213086,47,2012-12-17
294,2012-1130153,37,2012-12-14
295,2012-1113138,12,2013-03-26
296,2012-0831137,91,2012-12-18
297,2011-0117084,52,2012-12-13
298,2011-0430200,31,2012-12-17
299,2012-1111140,25,2012-12-28
