id,location
71,"Branch 29
Branch 29, Room:1
2452 West Belmont Avenue Room: 1
Chicago, IL 60618
"
72,"Criminal C
Criminal Courts Building, Room:306
2650 South California Avenue Room: 306
Chicago, IL 60608
"
73,"Markham
Markham, Room:101
16501 South Kedzie Parkway Room: 101
Markham, IL 60426
"
74,"Maywood
Maywood, Room:108
1500 Maybrook Drive Room: 108
Maywood, IL 60153
"
75,"Branch 03
Branch 44, Room:2
3150 West Flournoy Room: 2
Chicago, IL 60612
"
76,"Criminal C
Criminal Courts Building, Room:201
2650 South California Avenue Room: 201
Chicago, IL 60608
"
77,"Rolling Me
Rolling Meadows, Room:108
2121 West Euclid Avenue Room: 108
Rolling Meadows, IL 60008
"
78,"Markham
Markham, Room:206
16501 South Kedzie Parkway Room: 206
Markham, IL 60426
"
79,"Markham
Markham, Room:104
16501 South Kedzie Parkway Room: 104
Markham, IL 60426
"
80,"Criminal C
Criminal Courts Building, Room:305
2650 South California Avenue Room: 305
Chicago, IL 60608
"
81,"Criminal C
Branch 44, Room:2
3150 West Flournoy Room: 2
Chicago, IL 60612
"
82,"Bridgeview
Bridgeview, Room:103
10220 South 76th Avenue Room: 103
Bridgeview, IL 60455
"
83,"Bridgeview
Bridgeview, Room:104
10220 South 76th Avenue Room: 104
Bridgeview, IL 60455
"
84,"Juvenile C
Criminal Courts Building, Room:606
2650 South California Avenue Room: 606
Chicago, IL 60608
"
85,Skokie
86,"Branch 02
Criminal Courts Building, Room:202
2650 South California Avenue Room: 202
Chicago, IL 60608
"
87,"Markham
Markham, Room:106
16501 South Kedzie Parkway Room: 106
Markham, IL 60426
"
88,Branch 43
89,"Branch 63
Branch 63, Room:404
555 West Harrison Room: 404
Chicago, IL 60607
"
90,"Criminal C
Criminal Courts Building, Room:301
2650 South California Avenue Room: 301
Chicago, IL 60608
"
91,"Criminal C
Criminal Courts Building, Room:404
2650 South California Avenue Room: 404
Chicago, IL 60608
"
92,"Branch 43
Criminal Courts Building, Room:606
2650 South California Avenue Room: 606
Chicago, IL 60608
"
93,"Rolling Me
Skokie, Room:104
5600 Old Orchard Road Room: 104
Skokie, IL 60076
"
94,CRIMINAL C
95,"Branch 03
Criminal Courts Building, Room:500
2650 South California Avenue Room: 500
Chicago, IL 60608
"
96,BRANCH 44
97,SKOKIE
98,"Bridgeview
Bridgeview, Room:110
10220 South 76th Avenue Room: 110
Bridgeview, IL 60455
"
99,"Bridgeview
Bridgeview, Room:109
10220 South 76th Avenue Room: 109
Bridgeview, IL 60455
"
100,"Criminal C
Criminal Courts Building, Room:604
2650 South California Avenue Room: 604
Chicago, IL 60608
"
101,"Branch 63
Criminal Courts Building, Room:306
2650 South California Avenue Room: 306
Chicago, IL 60608
"
102,"Bridgeview
Bridgeview, Room:107
10220 South 76th Avenue Room: 107
Bridgeview, IL 60455
"
103,"Bridgeview
Bridgeview, Room:102
10220 South 76th Avenue Room: 102
Bridgeview, IL 60455
"
104,"Branch 23
Skokie, Room:209
5600 Old Orchard Road Room: 209
Skokie, IL 60076
"
105,"Branch 62
Bridgeview, Room:104
10220 South 76th Avenue Room: 104
Bridgeview, IL 60455
"
106,"
Markham, Room:107
16501 South Kedzie Parkway Room: 107
Markham, IL 60426
"
107,"Criminal C
Branch 48, Room:2
155 West 51st Street Room: 2
Chicago, IL 60609
"
108,"Branch 66
Branch 66, Room:101
2650 South California Avenue Room: 101
Chicago, IL 60608
"
109,Branch 03
110,"Branch 61
Bridgeview, Room:109
10220 South 76th Avenue Room: 109
Bridgeview, IL 60455
"
111,"Maywood
Criminal Courts Building, Room:1
2650 South California Avenue Room: 1
Chicago, IL 60608
"
112,"Skokie
Skokie, Room:209
5600 Old Orchard Road Room: 209
Skokie, IL 60076
"
113,"Markham
Maywood, Room:108
1500 Maybrook Drive Room: 108
Maywood, IL 60153
"
114,"Branch 02
Branch 02, Room:100
2650 South California Avenue Room: 100
Chicago, IL 60608
"
115,"Skokie
Skokie, Room:206
5600 Old Orchard Road Room: 206
Skokie, IL 60076
"
116,"Criminal C
Criminal Courts Building, Room:100
2650 South California Avenue Room: 100
Chicago, IL 60608
"
117,"Criminal C
Bridgeview, Room:109
10220 South 76th Avenue Room: 109
Bridgeview, IL 60455
"
